"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","74","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","20.135778","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","12.370449","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","52","1","70.584671","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","44","44","1","198.207962","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","8","8","1","5.074859","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","17","17","1","10.774431","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","145","145","1","161.988113","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","946","973","1","990.836182","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","33","35","1","37.515419","0","0"
"/Engine/Tutorial/SubEditors/TutorialAssets/Character/TutorialTPP_Mat.TutorialTPP_Mat","0","36","36","1","59.212685","0","0"
"/Game/Assets/Materials/Cloud.Cloud","0","51","51","1","51.233078","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","2.602289","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","19.749540","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","6.557167","0","0"
"/Engine/EngineMeshes/M_Mat_UnrealTech.M_Mat_UnrealTech","0","21","21","1","32.001751","0","0"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","45","45","1","69.810219","0","0"
"/Engine/EngineSky/M_SkyTimeOfDay.M_SkyTimeOfDay","0","7","8","1","15.769134","0","0"
"/Game/Assets/Materials/Soul/SoulMaterial.SoulMaterial","0","84","84","1","761.706360","0","0"
"/Game/Assets/Materials/Cyber/CyberMaterial.CyberMaterial","0","12","12","1","19.658981","0","0"
"/Game/Assets/Materials/Glass.Glass","0","30","30","1","53.982563","0","0"
"/Game/Assets/Materials/Cyber/Electronic_Mat.Electronic_Mat","0","12","12","1","29.144789","0","0"
"/DatasmithContent/Materials/FBXImporter/VREDMaster.VREDMaster","0","45","45","1","52.787319","0","0"
"/Engine/EngineDebugMaterials/VertexColorViewMode_GreenOnly.VertexColorViewMode_GreenOnly","0","12","12","1","7.602583","0","0"
"/Engine/EngineDebugMaterials/PhysicalMaterialMaskMaterial.PhysicalMaterialMaskMaterial","0","102","108","1","104.876938","0","0"
"/Engine/Tutorial/SubEditors/TutorialAssets/TutorialMaterial.TutorialMaterial","0","36","36","1","36.207523","0","0"
"/Engine/VREditor/Devices/Vive/ViveControllerMaterial.ViveControllerMaterial","0","36","36","1","43.626156","0","0"
"/DatasmithContent/Materials/Arealight.Arealight","0","6","6","1","4.162834","0","0"
